TB194_Cm0;TB204_Cm1;TB194_Cm2;TB204_Cm3;TB194_Cm4;TB204_Cm5;TB194_Cm6;TB204_Cm7;TB194_Cm8;TB204_Cm10;TB194_Cm0;TB204_Cm1;TB194_Cm2;TB204_Cm3;TB194_Cm4;TB204_Cm5;TB194_Cm6;TB204_Cm7;TB194_Cm8;TB204_Cm10;TB194_Cm0;TB204_Cm1;TB194_Cm2;TB204_Cm3;TB194_Cm4;TB204_Cm5;TB194_Cm6;TB204_Cm7;TB194_Cm8;TB204_Cm10;TB194_Cm0;TB204_Cm1;TB194_Cm2;TB204_Cm3;TB194_Cm4;TB204_Cm5;TB194_Cm6;TB204_Cm7;TB194_Cm8;TB204_Cm10;TB204_Cm0;TB194_Cm1;TB204_Cm2;TB194_Cm3;TB204_Cm4;TB194_Cm5;TB204_Cm6;TB194_Cm7;TB204_Cm8;TB194_Cm10;TB204_Cm0;TB194_Cm1;TB204_Cm2;TB194_Cm3;TB204_Cm4;TB194_Cm5;TB204_Cm6;TB194_Cm7;TB204_Cm8;TB194_Cm10;TB204_Cm0;TB194_Cm1;TB204_Cm2;TB194_Cm3;TB204_Cm4;TB194_Cm5;TB204_Cm6;TB194_Cm7;TB204_Cm8;TB194_Cm10;TB204_Cm0;TB194_Cm1;TB204_Cm2;TB194_Cm3;TB204_Cm4;TB194_Cm5;TB204_Cm6;TB194_Cm7;TB204_Cm8;TB194_Cm10;Time
0.019610889;-0.002389111;0.022610889;-0.012389111;-0.002389111;0.075610889;0.041610889;0.006610889;0.019610889;0.011610889;-0.020389111;-0.023389111;-0.009389111;-0.014389111;-0.001389111;-0.016389111;0.008610889;0.013610889;-0.005389111;-0.010389111;0.005610889;-0.027389111;-0.001389111;-0.004389111;0.007610889;0.002610889;-0.007389111;0.009610889;-0.000389111;0.009610889;-0.001389111;-0.027389111;0.009610889;0.010610889;-0.015389111;-0.028389111;0.023610889;0.002610889;0.002610889;0.010610889;0.004610889;0.000610889;0.010610889;-0.021389111;-0.015389111;-0.002389111;0.021610889;-0.003389111;0.004610889;0.006610889;0.010610889;-0.018389111;-0.017389111;-0.005389111;-0.019389111;0.015610889;-0.007389111;0.005610889;0.015610889;0.004610889;-0.013389111;0.005610889;-0.019389111;-0.018389111;-0.033389111;-0.016389111;0.002610889;0.019610889;0.002610889;-0.005389111;-0.013389111;-0.027389111;-0.010389111;-0.022389111;-0.032389111;-0.021389111;-0.006389111;0.040610889;-0.010389111;-0.016389111;-0.150389111
0.024610889;-0.000389111;0.022610889;-0.005389111;-0.000389111;0.075610889;0.049610889;0.011610889;0.021610889;0.016610889;-0.015389111;-0.017389111;-0.007389111;-0.012389111;0.001610889;-0.010389111;0.012610889;0.017610889;-0.000389111;-0.008389111;0.011610889;-0.025389111;0.004610889;0.000610889;0.008610889;0.006610889;-0.006389111;0.012610889;0.001610889;0.008610889;-0.002389111;-0.031389111;0.012610889;0.013610889;-0.011389111;-0.026389111;0.023610889;0.006610889;0.008610889;0.016610889;0.008610889;0.003610889;0.014610889;-0.019389111;-0.015389111;0.003610889;0.026610889;-0.001389111;0.009610889;0.007610889;0.013610889;-0.014389111;-0.013389111;-0.002389111;-0.015389111;0.020610889;-0.005389111;0.004610889;0.018610889;0.009610889;-0.007389111;0.012610889;-0.017389111;-0.017389111;-0.028389111;-0.014389111;0.005610889;0.021610889;0.005610889;0.000610889;-0.011389111;-0.029389111;-0.010389111;-0.017389111;-0.031389111;-0.015389111;-0.003389111;0.046610889;-0.007389111;-0.014389111;4.849610889
0.021610889;-0.000389111;0.020610889;-0.002389111;-0.000389111;0.069610889;0.050610889;0.014610889;0.024610889;0.016610889;-0.012389111;-0.016389111;-0.006389111;-0.012389111;0.005610889;-0.011389111;0.011610889;0.019610889;0.000610889;-0.005389111;0.014610889;-0.026389111;0.006610889;0.002610889;0.009610889;0.010610889;-0.007389111;0.013610889;0.003610889;0.009610889;-0.008389111;-0.033389111;0.014610889;0.014610889;-0.014389111;-0.025389111;0.025610889;0.008610889;0.008610889;0.018610889;0.011610889;0.006610889;0.014610889;-0.018389111;-0.013389111;0.004610889;0.029610889;0.002610889;0.010610889;0.010610889;0.012610889;-0.014389111;-0.008389111;-0.001389111;-0.014389111;0.018610889;-0.002389111;0.009610889;0.020610889;0.011610889;-0.006389111;0.020610889;-0.015389111;-0.016389111;-0.026389111;-0.016389111;0.010610889;0.023610889;0.005610889;0.003610889;-0.011389111;-0.027389111;-0.013389111;-0.016389111;-0.032389111;-0.015389111;-0.002389111;0.050610889;-0.005389111;-0.015389111;9.849610889
0.018610889;-0.005389111;0.017610889;-0.002389111;-0.001389111;0.073610889;0.048610889;0.009610889;0.027610889;0.012610889;-0.010389111;-0.017389111;-0.007389111;-0.013389111;0.004610889;-0.012389111;0.012610889;0.021610889;0.000610889;-0.006389111;0.015610889;-0.027389111;0.005610889;0.002610889;0.007610889;0.010610889;-0.005389111;0.013610889;0.002610889;0.012610889;-0.006389111;-0.034389111;0.013610889;0.014610889;-0.014389111;-0.025389111;0.024610889;0.009610889;0.009610889;0.019610889;0.014610889;0.004610889;0.012610889;-0.020389111;-0.015389111;0.002610889;0.026610889;-0.000389111;0.009610889;0.007610889;0.011610889;-0.016389111;-0.010389111;-0.001389111;-0.014389111;0.012610889;-0.004389111;0.005610889;0.020610889;0.011610889;-0.005389111;0.020610889;-0.017389111;-0.018389111;-0.026389111;-0.014389111;0.012610889;0.024610889;0.006610889;0.005610889;-0.010389111;-0.026389111;-0.013389111;-0.016389111;-0.031389111;-0.013389111;-0.001389111;0.050610889;-0.004389111;-0.011389111;14.84961089
0.017610889;-0.002389111;0.019610889;-0.000389111;-0.000389111;0.072610889;0.049610889;0.011610889;0.028610889;0.018610889;-0.010389111;-0.016389111;-0.005389111;-0.012389111;0.004610889;-0.015389111;0.016610889;0.021610889;0.001610889;-0.004389111;0.016610889;-0.028389111;0.006610889;0.001610889;0.009610889;0.010610889;-0.005389111;0.013610889;0.006610889;0.013610889;-0.007389111;-0.036389111;0.012610889;0.013610889;-0.013389111;-0.023389111;0.023610889;0.009610889;0.010610889;0.018610889;0.015610889;0.003610889;0.010610889;-0.019389111;-0.016389111;-0.000389111;0.026610889;0.001610889;0.010610889;0.009610889;0.012610889;-0.014389111;-0.009389111;-0.001389111;-0.012389111;0.009610889;-0.004389111;0.007610889;0.019610889;0.011610889;-0.005389111;0.020610889;-0.014389111;-0.016389111;-0.025389111;-0.016389111;0.009610889;0.024610889;0.007610889;0.005610889;-0.011389111;-0.026389111;-0.014389111;-0.016389111;-0.033389111;-0.011389111;-0.001389111;0.049610889;-0.003389111;-0.012389111;19.84961089
0.020610889;-0.003389111;0.020610889;-0.000389111;-0.000389111;0.070610889;0.051610889;0.012610889;0.027610889;0.019610889;-0.010389111;-0.017389111;-0.006389111;-0.011389111;0.005610889;-0.014389111;0.015610889;0.019610889;0.002610889;-0.004389111;0.018610889;-0.028389111;0.009610889;0.003610889;0.010610889;0.011610889;-0.004389111;0.015610889;0.007610889;0.015610889;-0.007389111;-0.035389111;0.014610889;0.015610889;-0.013389111;-0.022389111;0.024610889;0.009610889;0.011610889;0.021610889;0.036610889;0.005610889;0.012610889;-0.017389111;-0.013389111;0.002610889;0.027610889;0.003610889;0.011610889;0.011610889;0.012610889;-0.013389111;-0.009389111;-0.000389111;-0.012389111;0.012610889;-0.004389111;0.008610889;0.021610889;0.014610889;-0.002389111;0.022610889;-0.013389111;-0.014389111;-0.023389111;-0.014389111;0.014610889;0.024610889;0.008610889;0.008610889;-0.011389111;-0.025389111;-0.014389111;-0.013389111;-0.031389111;-0.013389111;-0.000389111;0.050610889;-0.002389111;-0.011389111;24.84961089
0.019610889;-0.004389111;0.019610889;-0.000389111;-0.000389111;0.069610889;0.051610889;0.012610889;0.028610889;0.019610889;-0.008389111;-0.018389111;-0.006389111;-0.013389111;0.007610889;-0.017389111;0.012610889;0.016610889;0.004610889;-0.003389111;0.018610889;-0.028389111;0.009610889;0.003610889;0.009610889;0.011610889;-0.004389111;0.013610889;0.005610889;0.014610889;-0.008389111;-0.035389111;0.015610889;0.016610889;-0.014389111;-0.023389111;0.024610889;0.011610889;0.012610889;0.019610889;0.034610889;0.005610889;0.011610889;-0.019389111;-0.015389111;0.002610889;0.025610889;0.002610889;0.011610889;0.011610889;0.011610889;-0.015389111;-0.008389111;-0.001389111;-0.013389111;0.011610889;-0.005389111;0.008610889;0.018610889;0.012610889;-0.003389111;0.023610889;-0.013389111;-0.015389111;-0.024389111;-0.012389111;0.015610889;0.026610889;0.008610889;0.009610889;-0.011389111;-0.025389111;-0.013389111;-0.014389111;-0.033389111;-0.010389111;-0.002389111;0.050610889;-0.002389111;-0.009389111;29.84961089
0.024610889;-0.003389111;0.023610889;0.002610889;0.005610889;0.076610889;0.053610889;0.014610889;0.034610889;0.015610889;-0.005389111;-0.014389111;-0.003389111;-0.010389111;0.011610889;-0.013389111;0.016610889;0.022610889;0.009610889;-0.001389111;0.022610889;-0.024389111;0.012610889;0.006610889;0.012610889;0.014610889;-0.000389111;0.016610889;0.008610889;0.016610889;-0.003389111;-0.032389111;0.020610889;0.018610889;-0.009389111;-0.019389111;0.027610889;0.012610889;0.014610889;0.023610889;0.039610889;0.008610889;0.014610889;-0.017389111;-0.014389111;0.004610889;0.026610889;0.006610889;0.012610889;0.012610889;0.016610889;-0.009389111;-0.005389111;0.001610889;-0.011389111;0.015610889;-0.001389111;0.012610889;0.023610889;0.017610889;-0.000389111;0.026610889;-0.011389111;-0.013389111;-0.021389111;-0.009389111;0.016610889;0.029610889;0.012610889;0.013610889;-0.007389111;-0.022389111;-0.013389111;-0.008389111;-0.030389111;-0.009389111;0.002610889;0.053610889;-0.000389111;-0.007389111;34.84961089
0.028610889;-0.003389111;0.026610889;0.003610889;0.004610889;0.071610889;0.054610889;0.014610889;0.029610889;0.020610889;-0.002389111;-0.015389111;-0.004389111;-0.010389111;0.010610889;-0.014389111;0.013610889;0.021610889;0.007610889;-0.003389111;0.021610889;-0.026389111;0.011610889;0.003610889;0.010610889;0.011610889;-0.003389111;0.015610889;0.009610889;0.016610889;-0.006389111;-0.034389111;0.017610889;0.016610889;-0.013389111;-0.021389111;0.026610889;0.013610889;0.014610889;0.022610889;0.044610889;0.009610889;0.014610889;-0.013389111;-0.015389111;0.006610889;0.029610889;0.006610889;0.010610889;0.014610889;0.014610889;-0.009389111;-0.006389111;0.002610889;-0.013389111;0.012610889;-0.004389111;0.012610889;0.021610889;0.017610889;-0.001389111;0.025610889;-0.010389111;-0.014389111;-0.023389111;-0.011389111;0.018610889;0.029610889;0.010610889;0.013610889;-0.010389111;-0.022389111;-0.017389111;-0.010389111;-0.032389111;-0.007389111;0.000610889;0.052610889;-0.001389111;-0.009389111;39.84961089
0.027610889;-0.004389111;0.022610889;0.002610889;0.004610889;0.072610889;0.055610889;0.011610889;0.039610889;0.017610889;-0.000389111;-0.012389111;-0.002389111;-0.008389111;0.012610889;-0.012389111;0.019610889;0.021610889;0.008610889;-0.001389111;0.023610889;-0.023389111;0.013610889;0.004610889;0.013610889;0.014610889;0.001610889;0.016610889;0.013610889;0.018610889;-0.003389111;-0.033389111;0.018610889;0.017610889;-0.010389111;-0.019389111;0.029610889;0.014610889;0.017610889;0.022610889;0.047610889;0.012610889;0.013610889;-0.013389111;-0.012389111;0.005610889;0.031610889;0.009610889;0.013610889;0.015610889;0.012610889;-0.008389111;-0.004389111;0.002610889;-0.011389111;0.011610889;-0.002389111;0.011610889;0.021610889;0.020610889;0.001610889;0.028610889;-0.006389111;-0.011389111;-0.020389111;-0.010389111;0.019610889;0.032610889;0.011610889;0.014610889;-0.006389111;-0.020389111;-0.013389111;-0.008389111;-0.031389111;-0.007389111;0.001610889;0.055610889;0.001610889;-0.004389111;44.84961089
