Cm,mean_rate,std_rate,n,fit_se,combined_se
0,0.033987105215865766,0.005113867974363249,4,0.0011288645032016438,0.002618491012291563
1,0.03287949508457615,0.005164372458085211,4,0.0008698011149120112,0.002618553840640443
2,0.034570547346153,0.004589104895884807,4,0.0011090478999144088,0.0023606074954203244
3,0.029544366733868888,0.008385906674794556,4,0.0011245225447515422,0.0042304840654474275
4,0.035830283134417974,0.0032239728392415676,4,0.0014232113674038209,0.0017620677813633325
5,0.03366483069533811,0.0079675013111321,4,0.0010425969971485996,0.004017713455479217
6,0.03135415832440982,0.009120597311992842,4,0.0011069656433207503,0.004593763932306045
7,0.023957286249244574,0.005596691285297889,4,0.0007769560417942309,0.002825182031029589
8,0.03389530910920493,0.007557288135302383,4,0.0013124330062928417,0.0038352015708430836
10,0.027576571772212927,0.012187296063320967,4,0.0009489649563845137,0.006112092927620714
